电影名,年份,评分,短评
天使爱美丽,未知年份,8.7,暂无短评
教父3,未知年份,9.0,暂无短评
侧耳倾听,未知年份,8.9,暂无短评
哪吒闹海,未知年份,9.2,暂无短评
九品芝麻官,未知年份,8.8,暂无短评
被解救的姜戈,未知年份,8.8,暂无短评
请以你的名字呼唤我,未知年份,8.8,暂无短评
幸福终点站,未知年份,8.8,暂无短评
釜山行,未知年份,8.6,暂无短评
神偷奶爸,未知年份,8.7,暂无短评
小森林 冬春篇,未知年份,9.0,暂无短评
喜宴,未知年份,9.0,暂无短评
萤火之森,未知年份,8.8,暂无短评
告白,未知年份,8.8,暂无短评
玛丽和麦克斯,未知年份,9.0,暂无短评
七武士,未知年份,9.3,暂无短评
头号玩家,未知年份,8.6,暂无短评
模仿游戏,未知年份,8.8,暂无短评
惊魂记,未知年份,9.0,暂无短评
大鱼,未知年份,8.8,暂无短评
心灵奇旅,未知年份,8.7,暂无短评
射雕英雄传之东成西就,未知年份,8.7,暂无短评
血战钢锯岭,未知年份,8.7,暂无短评
背靠背，脸对脸,未知年份,9.5,暂无短评
机器人之梦,未知年份,9.1,暂无短评
你的名字。,未知年份,8.5,暂无短评
我是山姆,未知年份,9.0,暂无短评
阳光姐妹淘,未知年份,8.8,暂无短评
恐怖直播,未知年份,8.7,暂无短评
黑客帝国3：矩阵革命,未知年份,8.8,暂无短评
末路狂花,未知年份,9.0,暂无短评
小丑,未知年份,8.7,暂无短评
三块广告牌,未知年份,8.7,暂无短评
谍影重重3,未知年份,8.9,暂无短评
电锯惊魂,未知年份,8.7,暂无短评
高山下的花环,未知年份,9.5,暂无短评
无间道2,未知年份,8.8,暂无短评
达拉斯买家俱乐部,未知年份,8.8,暂无短评
疯狂原始人,未知年份,8.7,暂无短评
绿里奇迹,未知年份,8.9,暂无短评
爱在午夜降临前,未知年份,8.9,暂无短评
疯狂的石头,未知年份,8.6,暂无短评
雨中曲,未知年份,9.1,暂无短评
2001太空漫游,未知年份,8.9,暂无短评
海街日记,未知年份,8.8,暂无短评
风之谷,未知年份,8.9,暂无短评
上帝之城,未知年份,9.0,暂无短评
心迷宫,未知年份,8.7,暂无短评
英雄本色,未知年份,8.6,暂无短评
记忆碎片,未知年份,8.7,暂无短评
纵横四海,未知年份,8.8,暂无短评
无敌破坏王,未知年份,8.7,暂无短评
卢旺达饭店,未知年份,8.9,暂无短评
东京教父,未知年份,9.0,暂无短评
小偷家族,未知年份,8.7,暂无短评
恐怖游轮,未知年份,8.5,暂无短评
牯岭街少年杀人事件,未知年份,8.9,暂无短评
冰川时代,未知年份,8.7,暂无短评
魔女宅急便,未知年份,8.7,暂无短评
芙蓉镇,未知年份,9.3,暂无短评
忠犬八公物语,未知年份,9.2,暂无短评
岁月神偷,未知年份,8.7,暂无短评
遗愿清单,未知年份,8.7,暂无短评
荒蛮故事,未知年份,8.7,暂无短评
大佛普拉斯,未知年份,8.7,暂无短评
源代码,未知年份,8.6,暂无短评
花束般的恋爱,未知年份,8.6,暂无短评
白日梦想家,未知年份,8.6,暂无短评
疯狂的麦克斯4：狂暴之路,未知年份,8.7,暂无短评
可可西里,未知年份,8.9,暂无短评
你看起来好像很好吃,未知年份,8.9,暂无短评
爱乐之城,未知年份,8.4,暂无短评
贫民窟的百万富翁,未知年份,8.6,暂无短评
波西米亚狂想曲,未知年份,8.6,暂无短评
城市之光,未知年份,9.3,暂无短评
爆裂鼓手,未知年份,8.6,暂无短评
青蛇,未知年份,8.6,暂无短评
东邪西毒,未知年份,8.6,暂无短评
哈利·波特与死亡圣器(上),未知年份,8.6,暂无短评
无耻混蛋,未知年份,8.7,暂无短评
终结者2：审判日,未知年份,8.8,暂无短评
